chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20160904,2016-09-04,2016,9,4,Domingo,1,3,0,0,
20160905,2016-09-05,2016,9,5,Segunda-feira,0,3,0,0,
20160906,2016-09-06,2016,9,6,Terça-feira,0,3,0,0,
20160907,2016-09-07,2016,9,7,Quarta-feira,0,3,0,1,Independência do Brasil
20160908,2016-09-08,2016,9,8,Quinta-feira,0,3,0,0,
20160909,2016-09-09,2016,9,9,Sexta-feira,0,3,0,0,
20160910,2016-09-10,2016,9,10,Sábado,1,3,0,0,
20160911,2016-09-11,2016,9,11,Domingo,1,3,0,0,
20160912,2016-09-12,2016,9,12,Segunda-feira,0,3,0,0,
20160913,2016-09-13,2016,9,13,Terça-feira,0,3,0,0,
20160914,2016-09-14,2016,9,14,Quarta-feira,0,3,0,0,
20160915,2016-09-15,2016,9,15,Quinta-feira,0,3,0,0,
20160916,2016-09-16,2016,9,16,Sexta-feira,0,3,0,0,
20160917,2016-09-17,2016,9,17,Sábado,1,3,0,0,
20160918,2016-09-18,2016,9,18,Domingo,1,3,0,0,
20160919,2016-09-19,2016,9,19,Segunda-feira,0,3,0,0,
20160920,2016-09-20,2016,9,20,Terça-feira,0,3,0,0,
20160921,2016-09-21,2016,9,21,Quarta-feira,0,3,0,0,
20160922,2016-09-22,2016,9,22,Quinta-feira,0,3,0,0,
20160923,2016-09-23,2016,9,23,Sexta-feira,0,3,0,0,
20160924,2016-09-24,2016,9,24,Sábado,1,3,0,0,
20160925,2016-09-25,2016,9,25,Domingo,1,3,0,0,
20160926,2016-09-26,2016,9,26,Segunda-feira,0,3,0,0,
20160927,2016-09-27,2016,9,27,Terça-feira,0,3,0,0,
20160928,2016-09-28,2016,9,28,Quarta-feira,0,3,0,0,
20160929,2016-09-29,2016,9,29,Quinta-feira,0,3,0,0,
20160930,2016-09-30,2016,9,30,Sexta-feira,0,3,0,0,
20161001,2016-10-01,2016,10,1,Sábado,1,4,0,0,
20161002,2016-10-02,2016,10,2,Domingo,1,4,0,0,
20161003,2016-10-03,2016,10,3,Segunda-feira,0,4,0,0,
20161004,2016-10-04,2016,10,4,Terça-feira,0,4,0,0,
20161005,2016-10-05,2016,10,5,Quarta-feira,0,4,0,0,
20161006,2016-10-06,2016,10,6,Quinta-feira,0,4,0,0,
20161007,2016-10-07,2016,10,7,Sexta-feira,0,4,0,0,
20161008,2016-10-08,2016,10,8,Sábado,1,4,0,0,
20161009,2016-10-09,2016,10,9,Domingo,1,4,0,0,
20161010,2016-10-10,2016,10,10,Segunda-feira,0,4,0,0,
20161011,2016-10-11,2016,10,11,Terça-feira,0,4,0,0,
20161012,2016-10-12,2016,10,12,Quarta-feira,0,4,0,1,Nossa Senhora Aparecida
20161013,2016-10-13,2016,10,13,Quinta-feira,0,4,0,0,
20161014,2016-10-14,2016,10,14,Sexta-feira,0,4,0,0,
20161015,2016-10-15,2016,10,15,Sábado,1,4,0,0,
20161016,2016-10-16,2016,10,16,Domingo,1,4,0,0,
